a 啊阿呵腌嗄锕
rong 容溶荣融绒熔蓉茸戎榕冗嵘镕蝾
rou 肉柔揉蹂鞣糅
ru 如入女乳儒辱汝蠕茹褥濡嚅孺铷缛襦
ruan 软阮朊
rui 瑞锐蕊兑睿芮
run 润闰
ruo 若弱偌箬
sa 萨撒洒仨卅飒
sai 思赛塞腮鳃噻
san 三参散伞叁糁
sang 丧桑嗓搡
sao 扫嫂梢骚缫搔臊瘙
se 色塞涩瑟啬铯穑槭
sen 森
seng 僧
sha 沙杀啥纱砂傻刹厦杉莎煞鲨霎裟挲嗄唦痧
shai 晒筛
shan 山单善闪扇衫陕珊禅杉擅掺栅煽膳删姗汕赡跚掸讪缮舢疝嬗潸鳝搧鄯苫膻芟
shang 上商伤尚赏汤裳晌熵墒垧殇
shao 少烧绍召稍梢哨勺捎邵鞘芍韶筲艄苕劭
she 社设射折涉舍摄舌蛇拾畲奢赦慑麝赊佘猞歙阇
shen 什身神信深参甚审伸申沈渗婶肾慎绅呻娠砷蜃莘吲糁鯵诜谌瘆
sheng 生声省胜升盛圣剩乘牲绳甸笙甥嵊
shi 是时实事十使什式世识市史石始师失视示似适士势食试施室释诗殖泽氏湿饰驶拾蚀尸逝侍誓狮匙柿矢硕嗜屎噬嘘栅拭峙仕恃虱轼舐耆螫豕谥弑奭
shou 手受收首守授售寿瘦兽狩绶
shu 术数书属树述熟输束殊叔朱舒鼠疏署竖蔬抒枢淑暑薯梳俞蜀庶赎塾墅恕曙倏漱黍腧戍孰澍秫菽纾疋
shua 刷耍唰
shuai 率衰摔帅甩蟀
shuan 拴栓涮闩
shuang 双霜爽孀
shui 说水谁睡税
shun 顺瞬舜吮
shuo 说数烁硕朔妁蒴铄搠
si 思四死斯似食司丝私饲寺撕祀肆嘶嗣伺厮俟泗咝巳鸶蛳驷锶汜
song 送松宋颂讼耸诵淞嵩悚凇怂忪菘
sou 搜艘嗽嗖擞飕馊薮螋叟溲
su 素速苏诉缩俗塑肃宿稣溯粟酥簌窣夙谡嗉僳愫
suan 算酸蒜
sui 随虽岁碎尿遂髓穗隋绥隧邃祟燧睢
sun 孙损笋荪
suo 所些索缩锁莎梭嗦琐唆羧唢娑蓑挲
ta 他它她塔踏拓塌嗒榻沓蹋獭挞趿遢
tai 大太态台抬泰胎苔汰钛酞肽
tan 谈探弹碳坦叹滩炭摊坛贪谭潭痰毯瘫檀坍袒覃忐昙钽澹郯
tang 堂唐糖躺汤塘倘趟烫膛淌棠搪螳蹚羰傥溏帑醣
tao 跳讨套逃陶桃萄掏涛淘滔叨韬啕绦洮饕
te 特忑忒
teng 腾疼藤滕誊
ti 体提题弟替梯踢蹄惕啼剔剃涕屉嚏锑棣倜悌鹈逖醍
tian 天田甜填添甸佃恬腆舔阗钿畑
tiao 条调跳挑眺迢窕苕佻笤啁粜
tie 铁贴帖餮
ting 听停庭挺厅廷亭艇烃婷蜓汀霆町铤葶
tong 同通统痛童铜筒桶桐佟侗酮捅瞳僮彤潼嗵恸峒
tou 头投透偷愉骰
tu 图土突途徒吐涂兔屠凸秃荼钍菟
tuan 团揣湍
tui 推弟退腿颓蜕褪忒
tun 吞屯豚臀囤褪饨鲀氽
tuo 脱托拖妥拓驼陀唾椭驮沱砣鸵佗坨跎箨柁柝
wa 瓦挖娃哇蛙凹洼袜佤娲
wai 外歪崴
wan 完万晚玩湾弯碗顽挽烷婉皖蔓腕丸宛惋蜿豌绾纨莞剜脘畹塆
wang 往王望忘亡网旺汪妄枉惘罔
wei 为维围委未微谓卫味唯威危伟尾违伪慰魏喂胃纬畏韦惟苇萎尉蔚巍薇偎帷娓渭桅圩倭痿崴猬诿猥潍煨葳韪帏嵬玮逶炜
wen 文问温闻稳纹吻蚊紊瘟韫雯汶刎
weng 翁嗡瓮蓊
wo 我握窝卧沃涡斡蜗喔倭挝龌渥莴幄
wu 物无五务舞武屋误恶午吴亡伍污乌雾悟吾呜侮唔巫勿梧诬捂晤兀於芜戊毋鹉妩钨邬坞蜈婺鹜忤骛牾庑杌
xi 系西细习息吸喜戏析希席洗稀惜悉袭腊溪媳牺锡嘻夕洒隙晰栖膝熙昔烯熄禧鳃徙嬉犀蟋奚兮曦蜥汐翕玺唏螅铣淅蹊硒皙熹窸羲矽檄郗忾僖屣歙樨觋娭豨咭
xia 下夏吓狭辖霞峡瞎厦虾暇匣唬遐侠黠呷瑕罅狎瘕
xian 现见先线显限县鲜险献洗宪陷仙闲纤腺弦贤嫌掀咸衔羡掺涎娴酰舷藓馅锨铣冼霰暹籼苋痫氙蚬岘
xiang 想相象向响像项乡降香羊享箱祥详湘橡翔巷厢镶襄饷骧芗飨衖
xiao 小消笑效校销削晓肖硝萧孝啸潇俏嚣哮淆宵箫霄筱逍骁姣枭哓鴞
xie 些解写血叶协谢械鞋斜谐胁泄歇邪契携卸屑泻蟹懈挟蝎偕楔勰亵燮鲑撷颉榭邂缬澥瀣廨躞
xin 心新信欣辛薪锌芯馨鑫衅昕訢忻莘炘歆囟
xing 行性形兴型星省幸醒刑姓杏猩腥邢惺悻荥陉擤荇
xiong 雄兄胸凶熊汹匈
xiu 修秀休宿袖臭羞绣朽锈嗅溴貅岫咻
xu 许需须续序休虚徐绪畜叙蓄邪吁絮婿嘘旭墟浒栩戌胥圩恤煦蓿酗顼诩魆洫盱砉
xuan 选县宣旋悬玄券喧轩绚眩炫渲漩暄萱癣煊镟璇
xue 学血雪削穴薛靴谑踅噱鳕
xun 训迅孙寻循讯巡询旬逊驯勋熏汛殉荀薰峋洵浚鲟徇浔醺窨荨埙巽蕈
ya 压呀亚牙雅芽鸭押邪崖哑鸦讶丫涯轧衙娅伢蚜桠氩垭碣琊疋迓
